edad,trabajo,emarital,educacion,mora,ingresos,gastos,casa,prestamo,contacto,dia,mes,duracion,campa,tdias,previo,resultado,credito
44,admin,casado,secundaria,no,-276.43,172.05,si,no,NA,5,may,172,1,-1,0,NA,no
39,manager,soltero,terciaria,no,320.96,121.1,si,no,NA,5,may,296,1,-1,0,NA,no
52,empresario,casado,secundaria,no,204.04,58.94,si,si,NA,5,may,127,1,-1,0,NA,no
46,manager,soltero,secundaria,no,-170.87,199.43,si,no,NA,5,may,255,2,-1,0,NA,no
36,tecnico,soltero,secundaria,no,339.39,498.5,si,si,NA,5,may,348,1,-1,0,NA,no
57,tecnico,casado,secundaria,no,895.08,4.71,no,si,NA,5,may,225,1,-1,0,NA,no
49,manager,casado,terciaria,no,428.98,119.56,si,no,NA,5,may,230,1,-1,0,NA,no
60,admin,casado,secundaria,no,120.02,101.06,si,si,NA,5,may,208,1,-1,0,NA,no
59,obrero,casado,secundaria,no,73.1,55.81,si,no,NA,5,may,226,1,-1,0,NA,no
51,manager,casado,terciaria,no,10734.09,228.7,si,no,NA,5,may,336,1,-1,0,NA,no
57,tecnico,divorciado,secundaria,no,125.25,7.08,si,no,NA,5,may,242,1,-1,0,NA,no
25,obrero,casado,secundaria,no,50.83,135.95,si,no,NA,5,may,365,1,-1,0,NA,no
53,tecnico,casado,secundaria,no,40.33,90.06,no,no,NA,5,may,1666,1,-1,0,NA,no
36,admin,divorciado,secundaria,no,576.53,18.71,si,no,NA,5,may,577,1,-1,0,NA,no
37,admin,soltero,secundaria,no,63.12,56.12,si,no,NA,5,may,137,1,-1,0,NA,no
44,servicios,divorciado,secundaria,no,2638.43,11.28,si,no,NA,5,may,160,1,-1,0,NA,no
50,manager,casado,secundaria,no,141.84,105.25,si,no,NA,5,may,180,2,-1,0,NA,no
60,obrero,casado,NA,no,157.48,77.8,si,no,NA,5,may,22,1,-1,0,NA,no
54,retirado,casado,secundaria,no,601.31,105.71,si,no,NA,5,may,1492,1,-1,0,NA,no
58,retirado,casado,NA,no,157.04,64.27,si,no,NA,5,may,616,1,-1,0,NA,no
36,admin,soltero,primaria,no,-83.21,40.89,si,no,NA,5,may,242,1,-1,0,NA,no
58,autoempleo,casado,terciaria,no,-290.06,124.62,si,no,NA,5,may,355,1,-1,0,NA,no
44,tecnico,casado,secundaria,no,73.96,46.01,si,no,NA,5,may,225,2,-1,0,NA,no
55,tecnico,divorciado,secundaria,no,44.28,0.07,no,no,NA,5,may,160,1,-1,0,NA,no
29,manager,soltero,terciaria,no,62.5,9.22,si,no,NA,5,may,363,1,-1,0,NA,no
54,obrero,casado,secundaria,no,1353.94,44.35,si,no,NA,5,may,266,1,-1,0,NA,no
48,manager,divorciado,terciaria,no,-150.22,37.53,si,no,NA,5,may,253,1,-1,0,NA,no
32,manager,casado,terciaria,no,90.96,392.6,si,no,NA,5,may,179,1,-1,0,NA,no
42,admin,soltero,secundaria,no,-14.32,67.88,si,no,NA,5,may,787,1,-1,0,NA,no
24,tecnico,soltero,secundaria,no,-21.31,64.97,si,si,NA,5,may,145,1,-1,0,NA,no
38,empresario,soltero,terciaria,no,332.19,74.89,no,si,NA,5,may,174,1,-1,0,NA,no
38,manager,soltero,terciaria,no,504.85,36.09,si,no,NA,5,may,104,1,-1,0,NA,no
47,obrero,casado,NA,no,395.79,139.45,si,no,NA,5,may,13,1,-1,0,NA,no
40,obrero,soltero,NA,no,59,40.19,si,no,NA,5,may,185,1,-1,0,NA,no
46,servicios,casado,primaria,no,238.17,144.36,si,no,NA,5,may,1778,1,-1,0,NA,no
32,admin,casado,terciaria,no,86.43,31.36,si,no,NA,5,may,138,1,-1,0,NA,no
53,tecnico,divorciado,secundaria,no,1046.86,106.06,si,no,NA,5,may,812,1,-1,0,NA,no
57,obrero,casado,primaria,no,295.46,161.72,si,no,NA,5,may,164,1,-1,0,NA,no
33,servicios,casado,secundaria,no,849.97,215.26,si,no,NA,5,may,391,1,-1,0,NA,no
49,obrero,casado,NA,no,227.15,102.56,si,no,NA,5,may,357,1,-1,0,NA,no
51,manager,casado,terciaria,no,6574.19,88.02,si,no,NA,5,may,91,1,-1,0,NA,no
60,retirado,casado,terciaria,no,183.19,136.48,no,no,NA,5,may,528,1,-1,0,NA,no
59,manager,divorciado,terciaria,no,85.33,91.5,si,no,NA,5,may,273,1,-1,0,NA,no
55,tecnico,casado,secundaria,no,1230.58,217.87,si,no,NA,5,may,158,2,-1,0,NA,no
35,obrero,soltero,secundaria,no,12308.26,508.94,si,si,NA,5,may,177,1,-1,0,NA,no
57,obrero,casado,secundaria,no,6029.85,35.53,si,si,NA,5,may,258,1,-1,0,NA,no
31,servicios,casado,secundaria,no,110.01,208.03,si,si,NA,5,may,172,1,-1,0,NA,no
54,manager,casado,secundaria,no,333.41,120.5,si,si,NA,5,may,154,1,-1,0,NA,no
55,obrero,casado,primaria,no,105.47,108.31,si,no,NA,5,may,291,1,-1,0,NA,no
43,tecnico,casado,secundaria,no,2031.98,289.06,si,no,NA,5,may,181,1,-1,0,NA,no
53,tecnico,casado,secundaria,no,417.42,76.48,si,no,NA,5,may,176,1,-1,0,NA,no
44,obrero,casado,secundaria,no,652.49,120.23,no,si,NA,5,may,211,1,-1,0,NA,no
55,servicios,divorciado,secundaria,no,118.33,328.76,no,no,NA,5,may,349,1,-1,0,NA,no
49,servicios,divorciado,secundaria,no,71.84,33.51,si,si,NA,5,may,272,1,-1,0,NA,no
55,servicios,divorciado,secundaria,si,58.31,39.24,si,no,NA,5,may,208,1,-1,0,NA,no
45,admin,soltero,secundaria,no,255.95,331.74,si,no,NA,5,may,193,1,-1,0,NA,no
47,servicios,divorciado,secundaria,no,224.6,130.54,no,no,NA,5,may,212,1,-1,0,NA,no
42,tecnico,soltero,secundaria,no,756.07,176.62,si,no,NA,5,may,20,1,-1,0,NA,no
59,admin,casado,secundaria,no,2424.96,193.5,si,no,NA,5,may,1042,1,-1,0,NA,si
46,autoempleo,casado,terciaria,no,240.46,21.21,si,si,NA,5,may,246,1,-1,0,NA,no
51,obrero,casado,primaria,no,247.2,118.45,si,no,NA,5,may,529,2,-1,0,NA,no
56,admin,casado,secundaria,no,101.16,9.43,no,no,NA,5,may,1467,1,-1,0,NA,si
41,tecnico,casado,secundaria,no,1351.47,65.91,si,no,NA,5,may,1389,1,-1,0,NA,si
46,manager,divorciado,secundaria,no,94.24,352.39,si,si,NA,5,may,188,2,-1,0,NA,no
57,retirado,casado,secundaria,no,521.55,168.42,si,no,NA,5,may,180,2,-1,0,NA,no
42,manager,soltero,secundaria,no,133.7,110.26,no,no,NA,5,may,48,1,-1,0,NA,no
30,tecnico,casado,secundaria,no,210.04,47.72,si,si,NA,5,may,213,2,-1,0,NA,no
60,admin,casado,secundaria,no,363.16,279.27,si,no,NA,5,may,583,1,-1,0,NA,no
60,obrero,casado,NA,no,129.7,173.26,si,no,NA,5,may,221,1,-1,0,NA,no
57,empresario,divorciado,secundaria,no,40.12,59.08,no,no,NA,5,may,173,1,-1,0,NA,no
36,manager,casado,terciaria,no,212.15,52.96,si,si,NA,5,may,426,1,-1,0,NA,no
55,obrero,casado,secundaria,no,416.37,159.17,no,no,NA,5,may,287,1,-1,0,NA,no
60,retirado,casado,terciaria,no,100.99,3.13,si,no,NA,5,may,101,1,-1,0,NA,no
39,tecnico,casado,secundaria,no,92.46,19.31,si,no,NA,5,may,203,1,-1,0,NA,no
46,manager,casado,terciaria,no,263.95,160.53,si,no,NA,5,may,197,1,-1,0,NA,no
44,obrero,casado,secundaria,no,-610.08,15.78,si,no,NA,5,may,257,1,-1,0,NA,no
53,obrero,casado,primaria,no,174.35,27.92,no,no,NA,5,may,124,1,-1,0,NA,no
52,obrero,casado,primaria,no,215.4,204.57,si,no,NA,5,may,229,1,-1,0,NA,no
59,obrero,casado,primaria,no,214.77,70.67,si,no,NA,5,may,55,3,-1,0,NA,no
27,tecnico,soltero,terciaria,no,55.38,209.53,si,no,NA,5,may,400,1,-1,0,NA,no
44,obrero,casado,secundaria,no,139.32,36.04,si,no,NA,5,may,197,1,-1,0,NA,no
47,tecnico,casado,terciaria,no,204.46,159.73,si,no,NA,5,may,190,1,-1,0,NA,no
34,admin,casado,secundaria,no,97.64,22.66,no,si,NA,5,may,21,1,-1,0,NA,no
59,retirado,soltero,secundaria,no,119.83,147.95,si,no,NA,5,may,514,1,-1,0,NA,no
45,manager,casado,terciaria,no,597.86,34.99,si,no,NA,5,may,849,2,-1,0,NA,no
29,servicios,divorciado,secundaria,no,136.42,211.14,si,no,NA,5,may,194,1,-1,0,NA,no
46,tecnico,divorciado,secundaria,no,113.29,14.95,no,no,NA,5,may,144,1,-1,0,NA,no
56,autoempleo,casado,primaria,no,37.42,90.21,si,si,NA,5,may,212,2,-1,0,NA,no
36,obrero,casado,primaria,no,512.12,132.98,si,no,NA,5,may,286,1,-1,0,NA,no
59,retirado,divorciado,primaria,no,144.33,218.05,si,no,NA,5,may,107,1,-1,0,NA,no
44,obrero,casado,secundaria,no,166.48,194.86,si,no,NA,5,may,247,2,-1,0,NA,no
41,admin,casado,secundaria,no,400.52,63.8,si,no,NA,5,may,518,1,-1,0,NA,no
33,manager,soltero,terciaria,no,2.66,3.41,si,no,NA,5,may,364,1,-1,0,NA,no
59,manager,divorciado,terciaria,no,347.38,91,no,no,NA,5,may,178,1,-1,0,NA,no
57,tecnico,casado,primaria,no,59.79,176.47,no,no,NA,5,may,98,1,-1,0,NA,no
56,tecnico,divorciado,NA,no,99.26,42.52,si,no,NA,5,may,439,1,-1,0,NA,no
51,obrero,casado,secundaria,no,91.96,72.24,si,no,NA,5,may,79,1,-1,0,NA,no
34,admin,casado,NA,no,36.28,60.88,si,no,NA,5,may,120,3,-1,0,NA,no
43,servicios,casado,secundaria,no,144.93,16.59,si,si,NA,5,may,127,2,-1,0,NA,no
52,tecnico,casado,terciaria,no,63.61,7.44,no,si,NA,5,may,175,1,-1,0,NA,no
33,tecnico,soltero,secundaria,no,190.68,3.52,si,no,NA,5,may,262,2,-1,0,NA,no
29,admin,soltero,secundaria,no,919.13,222.95,si,si,NA,5,may,61,1,-1,0,NA,no
34,servicios,casado,secundaria,no,15.87,38.88,si,si,NA,5,may,78,1,-1,0,NA,no
31,obrero,casado,secundaria,no,95.14,51.12,si,no,NA,5,may,143,1,-1,0,NA,no
55,servicios,casado,secundaria,no,2526.74,193.4,si,no,NA,5,may,579,1,-1,0,NA,si
55,manager,casado,NA,no,1269.32,202.57,no,no,NA,5,may,677,1,-1,0,NA,no
32,admin,soltero,secundaria,no,295.85,188.93,si,no,NA,5,may,345,1,-1,0,NA,no
38,tecnico,soltero,secundaria,no,1748.71,57.54,si,no,NA,5,may,185,1,-1,0,NA,no
55,admin,soltero,secundaria,no,896.64,334.62,si,si,NA,5,may,100,2,-1,0,NA,no
28,desempleado,soltero,terciaria,no,61.36,105.87,si,no,NA,5,may,125,2,-1,0,NA,no
23,obrero,casado,secundaria,no,143.77,62.65,si,no,NA,5,may,193,1,-1,0,NA,no
32,tecnico,soltero,secundaria,no,63.65,147.34,si,no,NA,5,may,136,1,-1,0,NA,no
43,servicios,soltero,NA,no,55.85,85.16,no,no,NA,5,may,73,1,-1,0,NA,no
32,obrero,casado,secundaria,no,553.62,83.2,si,no,NA,5,may,528,1,-1,0,NA,no
46,obrero,casado,secundaria,no,314.8,52.68,si,no,NA,5,may,541,1,-1,0,NA,no
53,hogar,divorciado,primaria,no,960.56,73.55,si,no,NA,5,may,163,1,-1,0,NA,no
34,autoempleo,soltero,secundaria,no,74.04,79.87,si,no,NA,5,may,301,1,-1,0,NA,no
57,desempleado,casado,terciaria,no,143.22,64.67,no,no,NA,5,may,46,1,-1,0,NA,no
37,obrero,casado,secundaria,no,121.89,113.88,si,no,NA,5,may,204,1,-1,0,NA,no
59,obrero,casado,secundaria,no,133.4,266.57,si,no,NA,5,may,98,1,-1,0,NA,no
33,servicios,casado,secundaria,no,93.56,4.18,si,no,NA,5,may,71,1,-1,0,NA,no
56,obrero,divorciado,primaria,no,65.32,173.29,si,no,NA,5,may,157,2,-1,0,NA,no
48,desempleado,casado,secundaria,no,425.59,59.46,si,no,NA,5,may,243,1,-1,0,NA,no
43,servicios,casado,primaria,no,76.37,169.72,si,no,NA,5,may,186,2,-1,0,NA,no
54,obrero,casado,primaria,no,444.81,113.23,si,no,NA,5,may,579,2,-1,0,NA,no
51,obrero,casado,NA,no,17.14,140.72,si,no,NA,5,may,163,2,-1,0,NA,no
26,estudiante,soltero,secundaria,no,72.41,210.69,si,no,NA,5,may,610,2,-1,0,NA,no
40,manager,casado,terciaria,no,58.57,351.88,si,no,NA,5,may,2033,1,-1,0,NA,no
39,manager,casado,secundaria,no,46.97,143.78,si,no,NA,5,may,85,1,-1,0,NA,no
50,tecnico,casado,primaria,no,236.25,293.76,no,no,NA,5,may,114,2,-1,0,NA,no
41,servicios,casado,secundaria,no,89.13,423.31,si,no,NA,5,may,114,2,-1,0,NA,no
51,obrero,casado,NA,no,1929.66,189.06,si,no,NA,5,may,57,1,-1,0,NA,no
60,retirado,divorciado,secundaria,no,293.38,239.1,si,no,NA,5,may,238,1,-1,0,NA,no
52,obrero,casado,secundaria,no,888.01,139.11,si,no,NA,5,may,93,3,-1,0,NA,no
48,obrero,casado,secundaria,no,956.99,8.97,si,no,NA,5,may,128,2,-1,0,NA,no
48,servicios,casado,NA,no,1778.81,147.12,si,no,NA,5,may,107,1,-1,0,NA,no
39,tecnico,soltero,terciaria,no,115.36,126.22,si,no,NA,5,may,181,1,-1,0,NA,no
47,servicios,soltero,secundaria,no,253.35,99.77,si,no,NA,5,may,303,2,-1,0,NA,no
40,obrero,casado,secundaria,no,1254.5,181.88,si,no,NA,5,may,558,5,-1,0,NA,no
45,tecnico,casado,secundaria,no,139.63,168.28,si,no,NA,5,may,270,1,-1,0,NA,no
26,admin,soltero,secundaria,no,127.93,126.98,si,no,NA,5,may,228,1,-1,0,NA,no
52,manager,casado,terciaria,no,351.17,98.23,si,no,NA,5,may,99,1,-1,0,NA,no
54,tecnico,casado,secundaria,no,1465.61,103.64,si,no,NA,5,may,240,1,-1,0,NA,no
54,admin,casado,terciaria,no,245.53,88.67,no,no,NA,5,may,673,2,-1,0,NA,si
50,obrero,casado,primaria,no,73.76,135.5,no,no,NA,5,may,233,3,-1,0,NA,no
35,obrero,casado,secundaria,no,59.5,111.29,si,no,NA,5,may,1056,1,-1,0,NA,no
44,servicios,casado,secundaria,no,1412,44.27,si,si,NA,5,may,250,1,-1,0,NA,no
53,empresario,casado,NA,no,106.81,73.13,si,no,NA,5,may,252,1,-1,0,NA,no
35,retirado,soltero,primaria,no,529.8,426.8,no,no,NA,5,may,138,1,-1,0,NA,no
60,admin,divorciado,secundaria,no,167.59,283.45,si,no,NA,5,may,130,1,-1,0,NA,no
53,admin,divorciado,secundaria,no,1213.48,4.83,si,no,NA,5,may,412,1,-1,0,NA,no
48,desempleado,casado,secundaria,no,109.56,174.8,si,no,NA,5,may,179,2,-1,0,NA,no
34,tecnico,casado,secundaria,no,121.24,156.65,si,no,NA,5,may,19,2,-1,0,NA,no
54,servicios,casado,secundaria,no,311.7,42.41,si,no,NA,5,may,458,2,-1,0,NA,no
51,manager,casado,secundaria,no,1218.16,121.53,si,no,NA,5,may,717,1,-1,0,NA,no
31,servicios,casado,terciaria,no,107.11,247.22,si,no,NA,5,may,313,1,-1,0,NA,no
35,tecnico,divorciado,secundaria,no,848.35,27.47,si,no,NA,5,may,683,2,-1,0,NA,no
35,servicios,casado,secundaria,no,128.48,50.11,si,no,NA,5,may,1077,1,-1,0,NA,no
38,tecnico,casado,secundaria,no,345.1,11.79,si,no,NA,5,may,416,1,-1,0,NA,no
36,admin,casado,terciaria,no,334.93,27.9,si,no,NA,5,may,146,2,-1,0,NA,no
58,retirado,casado,primaria,no,293.65,98.39,si,no,NA,5,may,167,1,-1,0,NA,no
40,servicios,divorciado,NA,no,4459.05,268.12,si,no,NA,5,may,315,1,-1,0,NA,no
54,manager,casado,secundaria,no,4153.21,319.57,no,no,NA,5,may,140,1,-1,0,NA,no
34,obrero,soltero,secundaria,no,119.09,22.63,si,si,NA,5,may,346,1,-1,0,NA,no
31,manager,soltero,terciaria,no,59.32,95.75,si,no,NA,5,may,562,1,-1,0,NA,no
51,retirado,casado,secundaria,no,2213.92,174.38,si,no,NA,5,may,172,1,-1,0,NA,no
33,manager,casado,terciaria,no,445,129.57,si,no,NA,5,may,217,1,-1,0,NA,no
55,manager,casado,terciaria,no,138,158.86,si,no,NA,5,may,142,2,-1,0,NA,no
42,admin,casado,secundaria,no,483.18,153.33,si,no,NA,5,may,67,1,-1,0,NA,no
34,obrero,casado,secundaria,no,292.53,144.19,si,no,NA,5,may,291,1,-1,0,NA,no
33,obrero,soltero,secundaria,no,359.09,65.75,si,no,NA,5,may,309,2,-1,0,NA,no
38,servicios,casado,secundaria,no,215.04,104.72,si,no,NA,5,may,248,1,-1,0,NA,no
50,tecnico,divorciado,terciaria,no,234.38,192.63,no,si,NA,5,may,98,1,-1,0,NA,no
43,manager,casado,terciaria,no,447.34,61.14,si,no,NA,5,may,256,1,-1,0,NA,no
61,obrero,divorciado,primaria,no,1509.8,153.35,si,no,NA,5,may,82,2,-1,0,NA,no
47,admin,casado,secundaria,no,290.81,224.73,si,no,NA,5,may,577,1,-1,0,NA,no
48,autoempleo,casado,terciaria,no,96.36,0.99,si,no,NA,5,may,286,1,-1,0,NA,no
44,obrero,casado,secundaria,no,674,401.23,si,no,NA,5,may,477,1,-1,0,NA,no
35,estudiante,soltero,NA,no,377.68,55.24,si,no,NA,5,may,611,2,-1,0,NA,no
35,servicios,casado,secundaria,no,93.51,28.49,si,no,NA,5,may,471,1,-1,0,NA,no
50,servicios,casado,secundaria,no,5739.08,112.66,si,no,NA,5,may,381,2,-1,0,NA,no
41,manager,casado,terciaria,no,257.14,35.29,si,si,NA,5,may,42,1,-1,0,NA,no
41,manager,casado,terciaria,no,610.59,50.15,si,no,NA,5,may,251,1,-1,0,NA,no
39,servicios,soltero,NA,no,308.07,12.8,si,no,NA,5,may,408,1,-1,0,NA,no
42,retirado,casado,secundaria,no,102.5,53.99,si,no,NA,5,may,215,1,-1,0,NA,no
38,obrero,casado,secundaria,no,-291.04,96.1,si,no,NA,5,may,287,1,-1,0,NA,no
53,retirado,casado,secundaria,no,439.86,269.58,si,no,NA,5,may,216,2,-1,0,NA,no
59,hogar,divorciado,primaria,no,277.88,120.35,no,no,NA,5,may,366,2,-1,0,NA,no
36,servicios,casado,secundaria,no,376.91,93.55,si,no,NA,5,may,210,1,-1,0,NA,no
54,obrero,casado,primaria,no,61.44,150.14,si,no,NA,5,may,288,1,-1,0,NA,no
40,tecnico,casado,terciaria,no,544.39,58.73,si,no,NA,5,may,168,1,-1,0,NA,no
47,NA,casado,NA,no,84.68,157.09,no,no,NA,5,may,338,2,-1,0,NA,no
53,desempleado,casado,NA,no,102.21,219.06,no,no,NA,5,may,410,3,-1,0,NA,no
46,hogar,casado,primaria,no,1034.54,249.54,no,no,NA,5,may,177,1,-1,0,NA,no
39,manager,casado,terciaria,no,425.77,61.36,si,si,NA,5,may,127,2,-1,0,NA,no
40,desempleado,casado,secundaria,no,291.21,23.46,si,no,NA,5,may,357,1,-1,0,NA,no
28,obrero,casado,primaria,no,370.09,44.5,si,no,NA,5,may,175,1,-1,0,NA,no
35,empresario,divorciado,secundaria,no,16.81,275.57,si,no,NA,5,may,300,1,-1,0,NA,no
55,retirado,casado,secundaria,no,67.12,68.02,no,si,NA,5,may,136,1,-1,0,NA,no
43,tecnico,divorciado,NA,no,289.41,164.48,si,no,NA,5,may,1419,1,-1,0,NA,no
48,obrero,casado,primaria,no,334.64,64.53,si,no,NA,5,may,125,2,-1,0,NA,no
58,manager,casado,NA,no,1110.03,66.16,si,no,NA,5,may,213,3,-1,0,NA,no
33,manager,soltero,terciaria,no,136.04,72.25,si,no,NA,5,may,27,1,-1,0,NA,no
36,obrero,casado,NA,no,1122.94,219.94,no,no,NA,5,may,238,2,-1,0,NA,no
53,servicios,divorciado,secundaria,no,1514.59,195.22,si,no,NA,5,may,124,1,-1,0,NA,no
47,obrero,casado,primaria,no,71.32,166.9,si,no,NA,5,may,18,1,-1,0,NA,no
31,servicios,casado,secundaria,no,481.43,347.76,si,no,NA,5,may,730,2,-1,0,NA,no
57,empresario,casado,secundaria,no,356.3,126.09,si,no,NA,5,may,746,2,-1,0,NA,no
53,obrero,casado,NA,no,1888.11,301.3,no,no,NA,5,may,121,1,-1,0,NA,no
55,obrero,casado,primaria,no,712.87,203.13,si,no,NA,5,may,247,1,-1,0,NA,no
45,obrero,casado,primaria,no,75.03,122.04,si,no,NA,5,may,40,1,-1,0,NA,no
53,admin,divorciado,secundaria,no,410.5,178.62,si,no,NA,5,may,181,2,-1,0,NA,no
37,obrero,casado,primaria,no,54.07,56.82,si,no,NA,5,may,79,1,-1,0,NA,no
44,admin,divorciado,secundaria,no,149.47,103.58,si,no,NA,5,may,206,1,-1,0,NA,no
49,obrero,divorciado,primaria,no,54.5,1.86,si,si,NA,5,may,389,1,-1,0,NA,no
46,tecnico,casado,secundaria,no,419.68,47.52,si,si,NA,5,may,127,1,-1,0,NA,no
43,empresario,casado,NA,no,155.64,104.59,si,no,NA,5,may,702,1,-1,0,NA,no
38,admin,casado,secundaria,no,84.49,139.51,no,no,NA,5,may,151,1,-1,0,NA,no
43,tecnico,casado,secundaria,no,485.56,6.14,si,no,NA,5,may,117,1,-1,0,NA,no
49,manager,casado,terciaria,no,3334.49,340.66,si,no,NA,5,may,232,3,-1,0,NA,no
42,manager,casado,NA,no,328.63,13.25,no,no,NA,5,may,408,2,-1,0,NA,no
22,obrero,soltero,secundaria,no,119.36,84.67,si,no,NA,5,may,179,2,-1,0,NA,no
40,manager,casado,terciaria,no,311.02,60.14,si,no,NA,5,may,39,1,-1,0,NA,no
39,obrero,casado,secundaria,no,587.46,177.69,si,no,NA,5,may,282,1,-1,0,NA,no
51,servicios,casado,secundaria,no,2291.73,218.14,si,no,NA,5,may,714,2,-1,0,NA,no
49,admin,casado,secundaria,no,525.96,313.22,si,no,NA,5,may,50,1,-1,0,NA,no
53,obrero,casado,secundaria,no,72.94,91.63,si,si,NA,5,may,181,1,-1,0,NA,no
34,servicios,soltero,secundaria,no,63.6,118.37,si,no,NA,5,may,142,1,-1,0,NA,no
33,tecnico,divorciado,secundaria,no,196.09,86.34,si,no,NA,5,may,227,1,-1,0,NA,no
50,manager,soltero,terciaria,no,379.19,41.02,si,no,NA,5,may,119,1,-1,0,NA,no
39,obrero,casado,primaria,no,356,174.92,si,no,NA,5,may,361,1,-1,0,NA,no
59,empresario,divorciado,secundaria,no,979.44,289.33,si,no,NA,5,may,73,3,-1,0,NA,no
30,tecnico,soltero,secundaria,no,2631.07,210.57,si,no,NA,5,may,67,2,-1,0,NA,no
36,servicios,casado,secundaria,no,164.43,66.36,si,si,NA,5,may,350,1,-1,0,NA,no
40,obrero,casado,secundaria,no,571.84,43.7,si,no,NA,5,may,332,2,-1,0,NA,no
53,obrero,casado,secundaria,no,142.59,53.39,si,no,NA,5,may,611,2,-1,0,NA,no
34,manager,soltero,terciaria,no,365.74,202.9,si,no,NA,5,may,113,2,-1,0,NA,no
37,tecnico,casado,secundaria,no,344.29,64.91,si,no,NA,5,may,132,1,-1,0,NA,no
42,manager,divorciado,terciaria,no,780.24,107.42,si,no,NA,5,may,58,3,-1,0,NA,no
41,empresario,casado,primaria,no,315.61,387.73,si,no,NA,5,may,151,1,-1,0,NA,no
30,estudiante,soltero,terciaria,no,51.67,102.5,si,no,NA,5,may,89,2,-1,0,NA,no
37,manager,soltero,terciaria,no,656.98,180.17,si,no,NA,5,may,152,1,-1,0,NA,no
39,admin,divorciado,secundaria,no,-261.44,201.47,si,no,NA,5,may,611,2,-1,0,NA,no
41,obrero,casado,primaria,no,269.38,125.98,si,si,NA,5,may,110,2,-1,0,NA,no
40,obrero,casado,primaria,no,51.33,45.04,si,no,NA,5,may,463,1,-1,0,NA,no
42,manager,soltero,terciaria,no,33.54,68.32,si,si,NA,5,may,562,2,-1,0,NA,si
40,obrero,divorciado,primaria,no,50.52,203.32,si,no,NA,5,may,962,1,-1,0,NA,no
57,tecnico,casado,secundaria,no,1133.85,30.18,si,no,NA,5,may,10,4,-1,0,NA,no
56,empresario,divorciado,secundaria,no,260.29,320.98,no,no,NA,5,may,118,3,-1,0,NA,no
37,admin,casado,secundaria,no,252.12,89.27,si,no,NA,5,may,92,2,-1,0,NA,no
59,retirado,casado,secundaria,no,369.8,56.38,si,no,NA,5,may,143,3,-1,0,NA,no
39,servicios,divorciado,secundaria,no,-126.44,18.53,si,no,NA,5,may,189,3,-1,0,NA,no
49,servicios,casado,secundaria,no,144.53,57.3,no,no,NA,5,may,234,2,-1,0,NA,no
38,servicios,soltero,secundaria,no,647.52,139.92,si,no,NA,5,may,75,2,-1,0,NA,no
36,autoempleo,casado,terciaria,no,114.8,6.85,no,no,NA,5,may,189,2,-1,0,NA,no
50,obrero,casado,primaria,no,135.06,107.84,si,no,NA,5,may,621,3,-1,0,NA,no
