edad,trabajo,emarital,educacion,mora,ingresos,gastos,inversion,casa,prestamo,contacto,dia,mes,duracion,campa,tdias,previo,resultado,credito
46,servicios,casado,primaria,no,238.17,144.36,1263.967402,si,no,NA,5,may,1778,1,-1,0,NA,no
32,admin,casado,terciaria,no,86.43,31.36,1253.657207,si,no,NA,5,may,138,1,-1,0,NA,no
53,tecnico,divorciado,secundaria,no,1046.86,106.06,1503.247167,si,no,NA,5,may,812,1,-1,0,NA,no
57,obrero,casado,primaria,no,295.46,161.72,3376.606372,si,no,NA,5,may,164,1,-1,0,NA,no
33,servicios,casado,secundaria,no,849.97,215.26,1127.326833,si,no,NA,5,may,391,1,-1,0,NA,no
49,obrero,casado,NA,no,227.15,102.56,3412.326857,si,no,NA,5,may,357,1,-1,0,NA,no
51,manager,casado,terciaria,no,6574.19,88.02,1726.220972,si,no,NA,5,may,91,1,-1,0,NA,no
60,retirado,casado,terciaria,no,183.19,136.48,178.4650685,no,no,NA,5,may,528,1,-1,0,NA,no
59,manager,divorciado,terciaria,no,85.33,91.5,932.0676142,si,no,NA,5,may,273,1,-1,0,NA,no
55,tecnico,casado,secundaria,no,1230.58,217.87,933.4782272,si,no,NA,5,may,158,2,-1,0,NA,no
35,obrero,soltero,secundaria,no,12308.26,508.94,7324.758519,si,si,NA,5,may,177,1,-1,0,NA,no
57,obrero,casado,secundaria,no,6029.85,35.53,977.0117885,si,si,NA,5,may,258,1,-1,0,NA,no
31,servicios,casado,secundaria,no,110.01,208.03,2319.17602,si,si,NA,5,may,172,1,-1,0,NA,no
54,manager,casado,secundaria,no,333.41,120.5,373.5576255,si,si,NA,5,may,154,1,-1,0,NA,no
55,obrero,casado,primaria,no,105.47,108.31,4227.458582,si,no,NA,5,may,291,1,-1,0,NA,no
43,tecnico,casado,secundaria,no,2031.98,289.06,630.0115318,si,no,NA,5,may,181,1,-1,0,NA,no
53,tecnico,casado,secundaria,no,417.42,76.48,929.5233037,si,no,NA,5,may,176,1,-1,0,NA,no
44,obrero,casado,secundaria,no,652.49,120.23,211.1316236,no,si,NA,5,may,211,1,-1,0,NA,no
55,servicios,divorciado,secundaria,no,118.33,328.76,555.5142569,no,no,NA,5,may,349,1,-1,0,NA,no
49,servicios,divorciado,secundaria,no,71.84,33.51,1329.034098,si,si,NA,5,may,272,1,-1,0,NA,no
55,servicios,divorciado,secundaria,si,58.31,39.24,1157.840823,si,no,NA,5,may,208,1,-1,0,NA,no
45,admin,soltero,secundaria,no,255.95,331.74,985.0589621,si,no,NA,5,may,193,1,-1,0,NA,no
47,servicios,divorciado,secundaria,no,224.6,130.54,2515.432576,no,no,NA,5,may,212,1,-1,0,NA,no
42,tecnico,soltero,secundaria,no,756.07,176.62,312.6144983,si,no,NA,5,may,20,1,-1,0,NA,no
59,admin,casado,secundaria,no,2424.96,193.5,3415.39698,si,no,NA,5,may,1042,1,-1,0,NA,si
46,autoempleo,casado,terciaria,no,240.46,21.21,2398.4786,si,si,NA,5,may,246,1,-1,0,NA,no
51,obrero,casado,primaria,no,247.2,118.45,933.9589118,si,no,NA,5,may,529,2,-1,0,NA,no
56,admin,casado,secundaria,no,101.16,9.43,923.7890867,no,no,NA,5,may,1467,1,-1,0,NA,si
41,tecnico,casado,secundaria,no,1351.47,65.91,462.5761929,si,no,NA,5,may,1389,1,-1,0,NA,si
46,manager,divorciado,secundaria,no,94.24,352.39,1051.601974,si,si,NA,5,may,188,2,-1,0,NA,no
57,retirado,casado,secundaria,no,521.55,168.42,694.5918835,si,no,NA,5,may,180,2,-1,0,NA,no
42,manager,soltero,secundaria,no,133.7,110.26,2147.345132,no,no,NA,5,may,48,1,-1,0,NA,no
30,tecnico,casado,secundaria,no,210.04,47.72,843.9118047,si,si,NA,5,may,213,2,-1,0,NA,no
60,admin,casado,secundaria,no,363.16,279.27,361.2918235,si,no,NA,5,may,583,1,-1,0,NA,no
60,obrero,casado,NA,no,129.7,173.26,1052.348967,si,no,NA,5,may,221,1,-1,0,NA,no
57,empresario,divorciado,secundaria,no,40.12,59.08,620.9195389,no,no,NA,5,may,173,1,-1,0,NA,no
36,manager,casado,terciaria,no,212.15,52.96,997.9309803,si,si,NA,5,may,426,1,-1,0,NA,no
55,obrero,casado,secundaria,no,416.37,159.17,2645.800872,no,no,NA,5,may,287,1,-1,0,NA,no
60,retirado,casado,terciaria,no,100.99,3.13,2711.168784,si,no,NA,5,may,101,1,-1,0,NA,no
39,tecnico,casado,secundaria,no,92.46,19.31,2330.652646,si,no,NA,5,may,203,1,-1,0,NA,no
46,manager,casado,terciaria,no,263.95,160.53,2397.659896,si,no,NA,5,may,197,1,-1,0,NA,no
44,obrero,casado,secundaria,no,-610.08,15.78,2895.006743,si,no,NA,5,may,257,1,-1,0,NA,no
53,obrero,casado,primaria,no,174.35,27.92,2196.631763,no,no,NA,5,may,124,1,-1,0,NA,no
52,obrero,casado,primaria,no,215.4,204.57,3065.698742,si,no,NA,5,may,229,1,-1,0,NA,no
59,obrero,casado,primaria,no,214.77,70.67,2215.104564,si,no,NA,5,may,55,3,-1,0,NA,no
27,tecnico,soltero,terciaria,no,55.38,209.53,1000.986902,si,no,NA,5,may,400,1,-1,0,NA,no
44,obrero,casado,secundaria,no,139.32,36.04,1031.186969,si,no,NA,5,may,197,1,-1,0,NA,no
47,tecnico,casado,terciaria,no,204.46,159.73,520.8407241,si,no,NA,5,may,190,1,-1,0,NA,no
34,admin,casado,secundaria,no,97.64,22.66,1224.068471,no,si,NA,5,may,21,1,-1,0,NA,no
59,retirado,soltero,secundaria,no,119.83,147.95,531.0913203,si,no,NA,5,may,514,1,-1,0,NA,no
45,manager,casado,terciaria,no,597.86,34.99,731.190205,si,no,NA,5,may,849,2,-1,0,NA,no
29,servicios,divorciado,secundaria,no,136.42,211.14,581.0313718,si,no,NA,5,may,194,1,-1,0,NA,no
46,tecnico,divorciado,secundaria,no,113.29,14.95,5094.826267,no,no,NA,5,may,144,1,-1,0,NA,no
56,autoempleo,casado,primaria,no,37.42,90.21,1086.674189,si,si,NA,5,may,212,2,-1,0,NA,no
36,obrero,casado,primaria,no,512.12,132.98,2681.645601,si,no,NA,5,may,286,1,-1,0,NA,no
59,retirado,divorciado,primaria,no,144.33,218.05,298.7437897,si,no,NA,5,may,107,1,-1,0,NA,no
44,obrero,casado,secundaria,no,166.48,194.86,1712.631579,si,no,NA,5,may,247,2,-1,0,NA,no
41,admin,casado,secundaria,no,400.52,63.8,2017.706787,si,no,NA,5,may,518,1,-1,0,NA,no
33,manager,soltero,terciaria,no,2.66,3.41,2387.254016,si,no,NA,5,may,364,1,-1,0,NA,no
59,manager,divorciado,terciaria,no,347.38,91,1001.475885,no,no,NA,5,may,178,1,-1,0,NA,no
57,tecnico,casado,primaria,no,59.79,176.47,813.0130178,no,no,NA,5,may,98,1,-1,0,NA,no
56,tecnico,divorciado,NA,no,99.26,42.52,1907.768223,si,no,NA,5,may,439,1,-1,0,NA,no
51,obrero,casado,secundaria,no,91.96,72.24,188.7832393,si,no,NA,5,may,79,1,-1,0,NA,no
34,admin,casado,NA,no,36.28,60.88,3250.850134,si,no,NA,5,may,120,3,-1,0,NA,no
43,servicios,casado,secundaria,no,144.93,16.59,1984.785936,si,si,NA,5,may,127,2,-1,0,NA,no
52,tecnico,casado,terciaria,no,63.61,7.44,1046.135749,no,si,NA,5,may,175,1,-1,0,NA,no
33,tecnico,soltero,secundaria,no,190.68,3.52,652.9389829,si,no,NA,5,may,262,2,-1,0,NA,no
29,admin,soltero,secundaria,no,919.13,222.95,1454.781185,si,si,NA,5,may,61,1,-1,0,NA,no
34,servicios,casado,secundaria,no,15.87,38.88,3340.659512,si,si,NA,5,may,78,1,-1,0,NA,no
31,obrero,casado,secundaria,no,95.14,51.12,981.3916335,si,no,NA,5,may,143,1,-1,0,NA,no
55,servicios,casado,secundaria,no,2526.74,193.4,2378.670637,si,no,NA,5,may,579,1,-1,0,NA,si
55,manager,casado,NA,no,1269.32,202.57,3527.4943,no,no,NA,5,may,677,1,-1,0,NA,no
32,admin,soltero,secundaria,no,295.85,188.93,347.5975014,si,no,NA,5,may,345,1,-1,0,NA,no
38,tecnico,soltero,secundaria,no,1748.71,57.54,346.678891,si,no,NA,5,may,185,1,-1,0,NA,no
55,admin,soltero,secundaria,no,896.64,334.62,1769.376039,si,si,NA,5,may,100,2,-1,0,NA,no
28,desempleado,soltero,terciaria,no,61.36,105.87,534.3676001,si,no,NA,5,may,125,2,-1,0,NA,no
23,obrero,casado,secundaria,no,143.77,62.65,2435.289759,si,no,NA,5,may,193,1,-1,0,NA,no
32,tecnico,soltero,secundaria,no,63.65,147.34,892.0045072,si,no,NA,5,may,136,1,-1,0,NA,no
43,servicios,soltero,NA,no,55.85,85.16,869.3563783,no,no,NA,5,may,73,1,-1,0,NA,no
32,obrero,casado,secundaria,no,553.62,83.2,825.7222957,si,no,NA,5,may,528,1,-1,0,NA,no
46,obrero,casado,secundaria,no,314.8,52.68,3922.41397,si,no,NA,5,may,541,1,-1,0,NA,no
53,hogar,divorciado,primaria,no,960.56,73.55,2460.820857,si,no,NA,5,may,163,1,-1,0,NA,no
34,autoempleo,soltero,secundaria,no,74.04,79.87,2965.655338,si,no,NA,5,may,301,1,-1,0,NA,no
57,desempleado,casado,terciaria,no,143.22,64.67,1614.818139,no,no,NA,5,may,46,1,-1,0,NA,no
37,obrero,casado,secundaria,no,121.89,113.88,1843.720829,si,no,NA,5,may,204,1,-1,0,NA,no
59,obrero,casado,secundaria,no,133.4,266.57,854.8835276,si,no,NA,5,may,98,1,-1,0,NA,no
33,servicios,casado,secundaria,no,93.56,4.18,2437.413525,si,no,NA,5,may,71,1,-1,0,NA,no
56,obrero,divorciado,primaria,no,65.32,173.29,1575.732211,si,no,NA,5,may,157,2,-1,0,NA,no
48,desempleado,casado,secundaria,no,425.59,59.46,979.3035158,si,no,NA,5,may,243,1,-1,0,NA,no
43,servicios,casado,primaria,no,76.37,169.72,812.1403969,si,no,NA,5,may,186,2,-1,0,NA,no
54,obrero,casado,primaria,no,444.81,113.23,641.9957349,si,no,NA,5,may,579,2,-1,0,NA,no
51,obrero,casado,NA,no,17.14,140.72,1850.531387,si,no,NA,5,may,163,2,-1,0,NA,no
26,estudiante,soltero,secundaria,no,72.41,210.69,1586.623963,si,no,NA,5,may,610,2,-1,0,NA,no
40,manager,casado,terciaria,no,58.57,351.88,291.4236911,si,no,NA,5,may,2033,1,-1,0,NA,no
39,manager,casado,secundaria,no,46.97,143.78,1888.422912,si,no,NA,5,may,85,1,-1,0,NA,no
50,tecnico,casado,primaria,no,236.25,293.76,2429.999232,no,no,NA,5,may,114,2,-1,0,NA,no
41,servicios,casado,secundaria,no,89.13,423.31,1435.660903,si,no,NA,5,may,114,2,-1,0,NA,no
51,obrero,casado,NA,no,1929.66,189.06,626.6686048,si,no,NA,5,may,57,1,-1,0,NA,no
60,retirado,divorciado,secundaria,no,293.38,239.1,1027.442644,si,no,NA,5,may,238,1,-1,0,NA,no
52,obrero,casado,secundaria,no,888.01,139.11,128.5437567,si,no,NA,5,may,93,3,-1,0,NA,no
48,obrero,casado,secundaria,no,956.99,8.97,2352.045085,si,no,NA,5,may,128,2,-1,0,NA,no
48,servicios,casado,NA,no,1778.81,147.12,1979.475549,si,no,NA,5,may,107,1,-1,0,NA,no
39,tecnico,soltero,terciaria,no,115.36,126.22,672.3467649,si,no,NA,5,may,181,1,-1,0,NA,no
47,servicios,soltero,secundaria,no,253.35,99.77,3051.136618,si,no,NA,5,may,303,2,-1,0,NA,no
40,obrero,casado,secundaria,no,1254.5,181.88,780.8303579,si,no,NA,5,may,558,5,-1,0,NA,no
45,tecnico,casado,secundaria,no,139.63,168.28,2873.839571,si,no,NA,5,may,270,1,-1,0,NA,no
26,admin,soltero,secundaria,no,127.93,126.98,261.9082344,si,no,NA,5,may,228,1,-1,0,NA,no
52,manager,casado,terciaria,no,351.17,98.23,363.8082302,si,no,NA,5,may,99,1,-1,0,NA,no
54,tecnico,casado,secundaria,no,1465.61,103.64,1826.354042,si,no,NA,5,may,240,1,-1,0,NA,no
54,admin,casado,terciaria,no,245.53,88.67,1749.604439,no,no,NA,5,may,673,2,-1,0,NA,si
50,obrero,casado,primaria,no,73.76,135.5,2569.032522,no,no,NA,5,may,233,3,-1,0,NA,no
35,obrero,casado,secundaria,no,59.5,111.29,2201.555887,si,no,NA,5,may,1056,1,-1,0,NA,no
44,servicios,casado,secundaria,no,1412,44.27,2309.364175,si,si,NA,5,may,250,1,-1,0,NA,no
53,empresario,casado,NA,no,106.81,73.13,1700.700167,si,no,NA,5,may,252,1,-1,0,NA,no
35,retirado,soltero,primaria,no,529.8,426.8,1724.436704,no,no,NA,5,may,138,1,-1,0,NA,no
60,admin,divorciado,secundaria,no,167.59,283.45,1286.353123,si,no,NA,5,may,130,1,-1,0,NA,no
53,admin,divorciado,secundaria,no,1213.48,4.83,740.8006859,si,no,NA,5,may,412,1,-1,0,NA,no
48,desempleado,casado,secundaria,no,109.56,174.8,532.5642937,si,no,NA,5,may,179,2,-1,0,NA,no
34,tecnico,casado,secundaria,no,121.24,156.65,837.2034073,si,no,NA,5,may,19,2,-1,0,NA,no
54,servicios,casado,secundaria,no,311.7,42.41,3405.28418,si,no,NA,5,may,458,2,-1,0,NA,no
51,manager,casado,secundaria,no,1218.16,121.53,2586.06613,si,no,NA,5,may,717,1,-1,0,NA,no
31,servicios,casado,terciaria,no,107.11,247.22,3116.998028,si,no,NA,5,may,313,1,-1,0,NA,no
35,tecnico,divorciado,secundaria,no,848.35,27.47,957.6776025,si,no,NA,5,may,683,2,-1,0,NA,no
35,servicios,casado,secundaria,no,128.48,50.11,476.0933528,si,no,NA,5,may,1077,1,-1,0,NA,no
38,tecnico,casado,secundaria,no,345.1,11.79,2405.899778,si,no,NA,5,may,416,1,-1,0,NA,no
36,admin,casado,terciaria,no,334.93,27.9,1669.90772,si,no,NA,5,may,146,2,-1,0,NA,no
58,retirado,casado,primaria,no,293.65,98.39,635.6420868,si,no,NA,5,may,167,1,-1,0,NA,no
40,servicios,divorciado,NA,no,4459.05,268.12,958.8311875,si,no,NA,5,may,315,1,-1,0,NA,no
54,manager,casado,secundaria,no,4153.21,319.57,2211.127039,no,no,NA,5,may,140,1,-1,0,NA,no
34,obrero,soltero,secundaria,no,119.09,22.63,942.6421732,si,si,NA,5,may,346,1,-1,0,NA,no
31,manager,soltero,terciaria,no,59.32,95.75,736.5129081,si,no,NA,5,may,562,1,-1,0,NA,no
51,retirado,casado,secundaria,no,2213.92,174.38,1271.720583,si,no,NA,5,may,172,1,-1,0,NA,no
33,manager,casado,terciaria,no,445,129.57,939.9446799,si,no,NA,5,may,217,1,-1,0,NA,no
55,manager,casado,terciaria,no,138,158.86,1347.350478,si,no,NA,5,may,142,2,-1,0,NA,no
42,admin,casado,secundaria,no,483.18,153.33,757.3134919,si,no,NA,5,may,67,1,-1,0,NA,no
34,obrero,casado,secundaria,no,292.53,144.19,867.2912164,si,no,NA,5,may,291,1,-1,0,NA,no
33,obrero,soltero,secundaria,no,359.09,65.75,1310.516159,si,no,NA,5,may,309,2,-1,0,NA,no
38,servicios,casado,secundaria,no,215.04,104.72,2787.388128,si,no,NA,5,may,248,1,-1,0,NA,no
50,tecnico,divorciado,terciaria,no,234.38,192.63,1394.524794,no,si,NA,5,may,98,1,-1,0,NA,no
43,manager,casado,terciaria,no,447.34,61.14,1008.877108,si,no,NA,5,may,256,1,-1,0,NA,no
61,obrero,divorciado,primaria,no,1509.8,153.35,965.7283769,si,no,NA,5,may,82,2,-1,0,NA,no
47,admin,casado,secundaria,no,290.81,224.73,1328.095365,si,no,NA,5,may,577,1,-1,0,NA,no
48,autoempleo,casado,terciaria,no,96.36,0.99,757.0738721,si,no,NA,5,may,286,1,-1,0,NA,no
44,obrero,casado,secundaria,no,674,401.23,2227.843554,si,no,NA,5,may,477,1,-1,0,NA,no
35,estudiante,soltero,NA,no,377.68,55.24,159.9281489,si,no,NA,5,may,611,2,-1,0,NA,no
35,servicios,casado,secundaria,no,93.51,28.49,1192.549456,si,no,NA,5,may,471,1,-1,0,NA,no
50,servicios,casado,secundaria,no,5739.08,112.66,2280.744389,si,no,NA,5,may,381,2,-1,0,NA,no
41,manager,casado,terciaria,no,257.14,35.29,560.539015,si,si,NA,5,may,42,1,-1,0,NA,no
41,manager,casado,terciaria,no,610.59,50.15,220.3314171,si,no,NA,5,may,251,1,-1,0,NA,no
39,servicios,soltero,NA,no,308.07,12.8,1723.001403,si,no,NA,5,may,408,1,-1,0,NA,no
42,retirado,casado,secundaria,no,102.5,53.99,201.4100202,si,no,NA,5,may,215,1,-1,0,NA,no
38,obrero,casado,secundaria,no,-291.04,96.1,2008.664528,si,no,NA,5,may,287,1,-1,0,NA,no
53,retirado,casado,secundaria,no,439.86,269.58,1000.972604,si,no,NA,5,may,216,2,-1,0,NA,no
59,hogar,divorciado,primaria,no,277.88,120.35,3148.356965,no,no,NA,5,may,366,2,-1,0,NA,no
36,servicios,casado,secundaria,no,376.91,93.55,1672.436823,si,no,NA,5,may,210,1,-1,0,NA,no
54,obrero,casado,primaria,no,61.44,150.14,197.976234,si,no,NA,5,may,288,1,-1,0,NA,no
40,tecnico,casado,terciaria,no,544.39,58.73,1078.056528,si,no,NA,5,may,168,1,-1,0,NA,no
47,NA,casado,NA,no,84.68,157.09,815.42914,no,no,NA,5,may,338,2,-1,0,NA,no
53,desempleado,casado,NA,no,102.21,219.06,4767.772324,no,no,NA,5,may,410,3,-1,0,NA,no
46,hogar,casado,primaria,no,1034.54,249.54,309.0733195,no,no,NA,5,may,177,1,-1,0,NA,no
39,manager,casado,terciaria,no,425.77,61.36,3551.351719,si,si,NA,5,may,127,2,-1,0,NA,no
40,desempleado,casado,secundaria,no,291.21,23.46,687.4523553,si,no,NA,5,may,357,1,-1,0,NA,no
28,obrero,casado,primaria,no,370.09,44.5,2681.006019,si,no,NA,5,may,175,1,-1,0,NA,no
35,empresario,divorciado,secundaria,no,16.81,275.57,736.2962609,si,no,NA,5,may,300,1,-1,0,NA,no
55,retirado,casado,secundaria,no,67.12,68.02,318.1053225,no,si,NA,5,may,136,1,-1,0,NA,no
43,tecnico,divorciado,NA,no,289.41,164.48,410.9028978,si,no,NA,5,may,1419,1,-1,0,NA,no
48,obrero,casado,primaria,no,334.64,64.53,70.40531072,si,no,NA,5,may,125,2,-1,0,NA,no
58,manager,casado,NA,no,1110.03,66.16,1447.105854,si,no,NA,5,may,213,3,-1,0,NA,no
33,manager,soltero,terciaria,no,136.04,72.25,344.9083824,si,no,NA,5,may,27,1,-1,0,NA,no
36,obrero,casado,NA,no,1122.94,219.94,265.5518252,no,no,NA,5,may,238,2,-1,0,NA,no
53,servicios,divorciado,secundaria,no,1514.59,195.22,185.8019105,si,no,NA,5,may,124,1,-1,0,NA,no
47,obrero,casado,primaria,no,71.32,166.9,385.9322914,si,no,NA,5,may,18,1,-1,0,NA,no
31,servicios,casado,secundaria,no,481.43,347.76,73.83084318,si,no,NA,5,may,730,2,-1,0,NA,no
57,empresario,casado,secundaria,no,356.3,126.09,625.7593603,si,no,NA,5,may,746,2,-1,0,NA,no
53,obrero,casado,NA,no,1888.11,301.3,1692.482423,no,no,NA,5,may,121,1,-1,0,NA,no
55,obrero,casado,primaria,no,712.87,203.13,1201.183533,si,no,NA,5,may,247,1,-1,0,NA,no
45,obrero,casado,primaria,no,75.03,122.04,1542.733638,si,no,NA,5,may,40,1,-1,0,NA,no
53,admin,divorciado,secundaria,no,410.5,178.62,1399.988038,si,no,NA,5,may,181,2,-1,0,NA,no
37,obrero,casado,primaria,no,54.07,56.82,1856.222383,si,no,NA,5,may,79,1,-1,0,NA,no
44,admin,divorciado,secundaria,no,149.47,103.58,1358.377884,si,no,NA,5,may,206,1,-1,0,NA,no
49,obrero,divorciado,primaria,no,54.5,1.86,667.8899136,si,si,NA,5,may,389,1,-1,0,NA,no
46,tecnico,casado,secundaria,no,419.68,47.52,2419.375617,si,si,NA,5,may,127,1,-1,0,NA,no
43,empresario,casado,NA,no,155.64,104.59,396.7646704,si,no,NA,5,may,702,1,-1,0,NA,no
38,admin,casado,secundaria,no,84.49,139.51,268.6585602,no,no,NA,5,may,151,1,-1,0,NA,no
43,tecnico,casado,secundaria,no,485.56,6.14,772.5260118,si,no,NA,5,may,117,1,-1,0,NA,no
49,manager,casado,terciaria,no,3334.49,340.66,2354.815655,si,no,NA,5,may,232,3,-1,0,NA,no
42,manager,casado,NA,no,328.63,13.25,1397.803669,no,no,NA,5,may,408,2,-1,0,NA,no
22,obrero,soltero,secundaria,no,119.36,84.67,1207.499957,si,no,NA,5,may,179,2,-1,0,NA,no
40,manager,casado,terciaria,no,311.02,60.14,2154.468301,si,no,NA,5,may,39,1,-1,0,NA,no
39,obrero,casado,secundaria,no,587.46,177.69,762.9387802,si,no,NA,5,may,282,1,-1,0,NA,no
51,servicios,casado,secundaria,no,2291.73,218.14,1097.460932,si,no,NA,5,may,714,2,-1,0,NA,no
49,admin,casado,secundaria,no,525.96,313.22,2356.791307,si,no,NA,5,may,50,1,-1,0,NA,no
